index,Timestamp,latitude,longitude,tagsArray
1,2023-10-14 18:08:46,7.00308,-73.9113033,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-23,""Numero"":0}]"
2,2023-10-14 18:08:01,7.0033166,-73.911495,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-24,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-24,""Numero"":1}]"
3,2023-10-14 18:08:00,7.0033,-73.9114833,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-25,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-25,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-25,""Numero"":2}]"
4,2023-10-14 18:07:59,7.0032833,-73.9114716,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-25,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-25,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-25,""Numero"":2},{""TagID"":""0700EE00A05201D0"",""Rssi"":-25,""Numero"":3}]"
5,2023-10-14 18:07:55,7.00321,-73.911465,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-25,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-25,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-25,""Numero"":2},{""TagID"":""0700EE00A05201D0"",""Rssi"":-25,""Numero"":3},{""TagID"":""0700EE00A03431D6"",""Rssi"":-25,""Numero"":4}]"
6,2023-10-14 18:07:52,7.0031533,-73.9115133,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-26,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-26,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-26,""Numero"":2},{""TagID"":""0700EE00A05201D0"",""Rssi"":-26,""Numero"":3},{""TagID"":""0700EE00A03431D6"",""Rssi"":-26,""Numero"":4},{""TagID"":""0700EE00A01621D4"",""Rssi"":-26,""Numero"":5}]"
7,2023-10-14 18:07:51,7.003135,-73.9115216,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-27,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-27,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-27,""Numero"":2},{""TagID"":""0700EE00A05201D0"",""Rssi"":-27,""Numero"":3},{""TagID"":""0700EE00A03431D6"",""Rssi"":-27,""Numero"":4},{""TagID"":""0700EE00A01621D4"",""Rssi"":-27,""Numero"":5},{""TagID"":""0700EE00A0853372"",""Rssi"":-27,""Numero"":6}]"
8,2023-10-14 18:07:49,7.0031033,-73.9115683,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-28,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-28,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-28,""Numero"":2},{""TagID"":""0700EE00A05201D0"",""Rssi"":-28,""Numero"":3},{""TagID"":""0700EE00A03431D6"",""Rssi"":-28,""Numero"":4},{""TagID"":""0700EE00A01621D4"",""Rssi"":-28,""Numero"":5},{""TagID"":""0700EE00A0853372"",""Rssi"":-28,""Numero"":6},{""TagID"":""0700EE00A044B6A5"",""Rssi"":-28,""Numero"":7}]"
9,2023-10-14 18:07:48,7.0030916,-73.911595,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-27,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-27,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-27,""Numero"":2},{""TagID"":""0700EE00A05201D0"",""Rssi"":-27,""Numero"":3},{""TagID"":""0700EE00A03431D6"",""Rssi"":-27,""Numero"":4},{""TagID"":""0700EE00A01621D4"",""Rssi"":-27,""Numero"":5},{""TagID"":""0700EE00A0853372"",""Rssi"":-27,""Numero"":6},{""TagID"":""0700EE00A044B6A5"",""Rssi"":-27,""Numero"":7},{""TagID"":""0700EE00A0828C06"",""Rssi"":-27,""Numero"":8}]"
10,2023-10-14 18:07:47,7.0030883,-73.9116233,"[{""TagID"":""0700EE00A0338EA2"",""Rssi"":-24,""Numero"":0},{""TagID"":""0700EE00A0562596"",""Rssi"":-24,""Numero"":1},{""TagID"":""0700EE00A04092E3"",""Rssi"":-24,""Numero"":2},{""TagID"":""0700EE00A05201D0"",""Rssi"":-24,""Numero"":3},{""TagID"":""0700EE00A03431D6"",""Rssi"":-24,""Numero"":4},{""TagID"":""0700EE00A01621D4"",""Rssi"":-24,""Numero"":5},{""TagID"":""0700EE00A0853372"",""Rssi"":-24,""Numero"":6},{""TagID"":""0700EE00A044B6A5"",""Rssi"":-24,""Numero"":7},{""TagID"":""0700EE00A0828C06"",""Rssi"":-24,""Numero"":8},{""TagID"":""0700EE00A00729D5"",""Rssi"":-24,""Numero"":9}]"
